Player,Pos,Age,Tm,G2018,MP,FGA,3P,3PA,FTA,TRB,AST,STL,BLK,PTS,puntPctFV
Avery Bradley,SG,28,TOT,63,1905,608,86,245,50,175,152,41,16,625,215.9
Mikal Bridges,SF,22,PHO,82,2417,563,105,313,118,264,173,129,38,684,255.18
Miles Bridges,SF,20,CHO,80,1696,511,65,200,77,323,95,55,49,597,217.02
Malcolm Brogdon,SG,26,MIL,64,1832,748,104,244,152,288,205,46,13,1001,302.72
Bruce Brown,SG,22,DET,74,1449,314,24,93,60,185,91,40,36,319,129.98
Jaylen Brown,SG,22,BOS,74,1913,792,95,276,202,313,100,69,32,964,300.22
Sterling Brown,SG,23,MIL,58,1034,312,53,147,42,184,84,25,8,372,134.7
Troy Brown Jr.,SF,19,WAS,52,730,234,22,69,47,145,80,21,5,248,97.05
Jalen Brunson,PG,22,DAL,73,1591,565,63,181,120,169,230,37,4,678,221.65
Thomas Bryant,C,21,WAS,72,1496,502,33,99,137,454,92,25,67,758,242.6
Reggie Bullock,SG,27,TOT,63,1879,594,148,393,85,173,129,40,12,711,237.52
Trey Burke,PG,26,TOT,58,1125,548,56,159,124,99,159,33,7,631,193.33
Alec Burks,SG,27,TOT,64,1375,474,61,168,141,235,128,39,21,561,194.75
Jimmy Butler,SF-SG,29,TOT,65,2185,904,67,193,365,342,263,123,39,1215,370.18
Kentavious Caldwell-Pope,SG,25,LAL,82,2035,756,151,435,158,238,110,73,13,938,297.82
Clint Capela,C,24,HOU,67,2249,732,0,0,261,848,96,44,102,1114,360.25
DeMarre Carroll,PF,32,BRK,67,1703,575,106,310,242,349,85,31,10,744,249.7
Vince Carter,PF,42,ATL,76,1330,468,123,316,66,194,87,44,27,562,199.58
Willie Cauley-Stein,C,25,SAC,81,2213,741,1,2,254,678,194,96,51,965,334.75
Tyson Chandler,C,36,TOT,55,875,99,0,1,87,307,37,21,23,173,86.37
Wilson Chandler,PF-SF,31,TOT,51,1177,273,59,158,25,215,82,25,21,305,128.02
Gary Clark,PF,24,HOU,51,641,151,41,138,7,116,18,20,26,148,72.12
Ian Clark,SG,27,NOP,60,973,383,66,202,37,89,94,22,8,401,138.83
Jordan Clarkson,SG,26,CLE,81,2214,1180,144,445,192,270,196,57,13,1364,406.62
John Collins,PF,21,ATL,61,1829,831,55,158,266,595,121,22,39,1188,354.72
Zach Collins,C,21,POR,77,1356,400,40,121,126,324,71,25,66,512,184.72
Darren Collison,PG,31,IND,76,2143,659,79,194,190,232,459,110,9,853,303.8
Mike Conley,PG,31,MEM,70,2342,1120,155,426,406,239,449,94,22,1478,453.32
Pat Connaughton,SG,26,MIL,61,1261,350,66,200,40,258,122,33,25,421,166.2
Quinn Cook,PG,25,GSW,74,1059,439,81,200,26,157,116,20,3,509,170.85
Torrey Craig,SF,28,DEN,75,1503,362,61,188,70,263,72,37,46,430,166.6
Jamal Crawford,SG,38,PHO,64,1211,438,67,202,110,85,229,33,12,508,178.2
Jae Crowder,SF,28,UTA,80,2166,797,173,522,197,384,133,64,31,951,333.72
Dante Cunningham,PF,31,SAS,64,928,158,30,65,18,188,50,27,13,194,87.05
Seth Curry,SG,28,POR,74,1399,465,113,251,52,120,66,36,12,581,181.9
Stephen Curry,PG,30,GSW,69,2331,1340,354,810,287,369,361,92,25,1881,572.1
Troy Daniels,SG,27,PHO,51,760,275,74,194,23,73,26,26,5,318,106.85
Anthony Davis,C,25,NOP,56,1850,1026,48,145,433,672,218,88,135,1452,451.5
Ed Davis,C,29,BRK,81,1446,302,0,2,162,694,61,35,33,472,202.3
Dewayne Dedmon,C,29,ATL,64,1609,526,83,217,113,480,90,69,71,693,256.82
DeMar DeRozan,SG,29,SAS,77,2688,1313,7,45,441,462,475,86,36,1635,487.98
Cheick Diallo,PF,22,NOP,64,896,271,1,4,67,332,33,29,33,387,135.65
Hamidou Diallo,SG,20,OKC,51,526,165,4,24,59,97,17,21,10,190,65.38
Gorgui Dieng,C,29,MIN,76,1031,377,19,56,106,311,72,48,41,485,170.85
Spencer Dinwiddie,PG,25,BRK,68,1914,828,124,370,356,166,311,40,17,1143,340.42
Luka Dončić,SG,19,DAL,72,2318,1186,168,514,485,563,429,77,25,1526,510.32
Damyean Dotson,SG,24,NYK,73,2004,698,126,342,98,262,135,58,10,779,266.08
Andre Drummond,C,25,DET,79,2647,1052,5,38,412,1232,112,136,138,1370,497.45
Jared Dudley,PF,33,BRK,59,1220,239,53,151,46,155,83,36,16,287,115.78
