Player,Pos,Age,Tm,G,MP,FGA,3P,3PA,2PA,FTA,TRB,AST,STL,BLK,PTS,FV
Treveon Graham,SG,26,MIN,33,663,175,20,83,92,37,100,30,17,2,171,153.14999999999998
Treveon Graham,SG,26,ATL,22,266,67,13,37,30,19,50,15,7,4,72,65.45
Jerami Grant,PF,25,DEN,71,1892,634,98,252,382,196,248,88,50,57,851,487.75000000000006
Jerian Grant,PG,27,WAS,6,80,27,2,8,19,7,6,9,1,1,27,19.6
Josh Gray,PG,26,NOP,2,23,2,0,0,2,0,2,2,0,0,2,4.45
Danny Green,SG,32,LAL,68,1687,474,120,327,147,48,225,91,85,32,547,415.7
Draymond Green,PF,29,GSW,43,1222,316,36,129,187,83,266,266,59,33,345,316.65
JaMychal Green,PF,29,LAC,63,1307,352,92,238,114,48,388,49,29,24,430,338.59999999999985
Javonte Green,SF,26,BOS,48,468,126,9,33,93,42,93,26,24,8,163,119.75
Jeff Green,PF-C,33,TOT,48,960,344,62,183,161,91,133,50,26,19,453,256.4
Jeff Green,PF,33,UTA,30,553,195,34,104,91,63,81,20,12,10,233,144.55
Jeff Green,C,33,HOU,18,407,149,28,79,70,28,52,30,14,9,220,111.85000000000002
Blake Griffin,PF,30,DET,18,512,250,27,111,139,98,84,59,7,7,279,148.75
Marko Guduric,SG,24,MEM,44,484,157,25,83,74,26,73,45,12,8,173,126.09999999999998
Kyle Guy,SG,22,SAC,3,10,5,0,3,2,0,1,1,0,0,4,2.95
Rui Hachimura,PF,21,WAS,48,1444,545,25,87,458,140,294,87,37,8,649,372.4
Devon Hall,SG,24,OKC,11,81,30,4,17,13,8,7,13,4,1,20,21.45
Donta Hall,PF,22,TOT,9,133,22,0,0,22,18,38,4,3,6,39,32.300000000000004
Donta Hall,PF,22,DET,4,48,4,0,0,4,6,15,2,1,1,6,10.799999999999999
Donta Hall,PF,22,BRK,5,85,18,0,0,18,12,23,2,2,5,33,21.5
Dusty Hannahs,SG,26,MEM,2,13,9,2,3,6,2,1,0,0,0,12,4.45
Tim Hardaway Jr.,SG,27,DAL,71,2091,884,204,513,371,182,232,137,41,5,1121,577.2499999999999
James Harden,SG,30,HOU,68,2483,1514,299,843,671,800,446,512,125,60,2335,918.2
Maurice Harkless,SF,26,TOT,62,1427,283,34,98,185,66,240,68,58,33,357,324.7
Maurice Harkless,SF,26,LAC,50,1141,217,27,73,144,42,200,48,49,30,275,258.15000000000003
Maurice Harkless,SF,26,NYK,12,286,66,7,25,41,24,40,20,9,3,82,66.55
Jared Harper,PG,22,PHO,3,8,4,0,2,2,0,0,0,0,0,2,2.15
Montrezl Harrell,C,26,LAC,63,1749,812,0,18,794,351,445,107,39,72,1173,514.4499999999999
Gary Harris,SG,25,DEN,56,1780,519,70,210,309,92,163,118,76,14,581,418.65000000000003
Joe Harris,SF,28,BRK,69,2123,784,172,406,378,89,298,144,41,17,998,559.7500000000001
Tobias Harris,PF,27,PHI,72,2469,1173,131,357,816,216,495,227,53,40,1411,704.15
Shaquille Harrison,SF,26,CHI,43,484,165,16,42,123,50,86,49,34,19,209,133.2
Josh Hart,SF,24,NOP,65,1755,532,121,354,178,115,425,108,63,23,656,462.6500000000001
Isaiah Hartenstein,C,21,HOU,23,266,67,0,5,62,28,90,18,9,12,107,71.95
Udonis Haslem,PF,39,MIA,4,44,11,1,3,8,4,16,1,0,0,12,11.1
Jaxson Hayes,C,19,NOP,64,1080,259,1,4,255,190,259,56,26,55,472,281.15
Gordon Hayward,SF,29,BOS,52,1740,700,85,222,478,145,348,212,38,22,909,483.55000000000007
John Henson,PF,29,TOT,40,600,171,8,36,135,46,162,54,24,42,221,159.75
John Henson,PF,29,CLE,29,412,120,6,31,89,33,114,43,16,32,145,110.94999999999999
John Henson,PF,29,DET,11,188,51,2,5,46,13,48,11,8,10,76,48.800000000000004
Dewan Hernandez,C,23,TOR,6,28,14,1,2,12,5,14,3,1,0,14,9.45
Juan Hernangómez,PF,24,TOT,48,833,247,44,129,118,71,197,40,19,9,288,214.20000000000002
Juan Hernangómez,PF,24,DEN,34,422,110,15,60,50,25,95,22,5,5,107,103.05
Juan Hernangómez,PF,24,MIN,14,411,137,29,69,68,46,102,18,14,4,181,111.15000000000002
Willy Hernangómez,C,25,CHO,31,375,139,5,22,117,59,134,29,10,7,190,109.4
Tyler Herro,SG,20,MIA,55,1508,631,116,298,333,100,224,121,34,9,743,410.59999999999997
Kevin Hervey,PF,23,OKC,10,52,27,3,20,7,0,12,5,1,1,17,15.55
Mario Hezonja,PF,24,POR,53,871,218,24,78,140,59,184,50,36,9,256,212.25
Buddy Hield,SG,27,SAC,72,2216,1162,271,688,474,136,328,213,66,17,1382,670.2
